Title,Rating,Votes,Duration,Genre
Mononoke the Movie: The Phantom in the Rain,6.8, 1.3K,1h 29m,Fantasy
School of Magical Animals 3,5.8, 315,1h 45m,Fantasy
Warchief,2.5, 609,1h 34m,Fantasy
Big City Greens the Movie: Spacecation,6.2, 544,1h 23m,Fantasy
The Keepers of the 5 Kingdoms,4.0, 220,1h 49m,Fantasy
The Invisibles,5.8, 466,1h 51m,Fantasy
"Love, Danielle",8.9, 41,1h 19m,Fantasy
White Snake: Afloat,6.9, 479,2h 13m,Fantasy
Assassin's Guild,3.6, 118,1h 43m,Fantasy
Dalia y el Libro Rojo,6.5, 94,1h 47m,Fantasy
Nyctophobia,7.5, 1.8K,1h 30m,Fantasy
Tim Travers & the Time Travelers Paradox,6.9, 278,1h 35m,Fantasy
Barroz: Guardian of Treasures,3.5, 1K,2h 35m,Fantasy
Mayan,8.7, 132,1h 53m,Fantasy
Fureru,6.2, 36,1h 47m,Fantasy
The Witch: Revenge,5.3, 824,1h 40m,Fantasy
"Die Heinzels: Neue Mützen, Neue Mission",6.4, 92,1h 16m,Fantasy
Oshi no Ko: The Final Act,6.8, 129,2h 9m,Fantasy
Ghost Cat Anzu,6.5, 778,1h 37m,Fantasy
My Oni Girl,6.0, 1.8K,1h 52m,Fantasy
"Maya, donne-moi un titre",6.4, 54,1h 1m,Fantasy
Ooru Peru Bhairavakona,5.7, 1.7K,2h 13m,Fantasy
Respati,5.8, 294,1h 52m,Fantasy
SuperKlaus,4.3, 202,1h 28m,Fantasy
Loch Ness Monster Captured,3.3, 32,45m,Fantasy
Una ballena,6.1, 77,1h 48m,Fantasy
The Sleeping Woman,5.2, 570,1h 50m,Fantasy
Heartsping : Teenieping of Love,7.1, 24,TV-Y,Fantasy
Diplodocus,6.3, 178,1h 30m,Fantasy
UmroAyyar - A New Beginning,6.9, 675,2h 15m,Fantasy
The Phantom Warrior,2.4, 555,1h 59m,Fantasy
Seven Seas Seven Hills,8.7, 90,1h 30m,Fantasy
Si Juki the Movie: Harta Pulau Monyet,6.0, 120,1h 47m,Fantasy
Un cuento de pescadores,7.2, 41,1h 43m,Fantasy
King Baby,7.0, 26,1h 28m,Fantasy
Hanami,6.8, 102,1h 36m,Fantasy
The Casagrandes Movie,5.6, 667,1h 29m,Fantasy
A Trip Elsewhere,5.5, 102,1h 33m,Fantasy
Princesa Adormecida,3.9, 168,1h 20m,Fantasy
STEVE (A Minecraft Movie),6.9, 12,1h 1m,Fantasy
The Yin Yang Master Zero,5.7, 275,1h 52m,Fantasy
The Proud Princess,6.7, 113,1h 24m,Fantasy
Malaikottai Vaaliban,6.0, 4.1K,2h 36m,Fantasy
The Traveller,5.2, 208,2h 14m,Fantasy
My Future You,8.1, 52,1h 49m,Fantasy
Shrek 5: The Contract - A Fan Made Film,7.0, 19,1h 24m,Fantasy
Once Upon a Christmas Wish,6.1, 321,1h 30m,Fantasy
The Lost Tiger,7.9, 45,1h 30m,Fantasy
The Epidemic,5.7, 72,1h 35m,Fantasy
Perdiendo el Juicio,7.5, 21,1h 30m,Fantasy
Bremenskie muzykanty,4.6, 671,1h 55m,Fantasy
Kajolrekha,6.3, 177,2h 36m,Fantasy
Empire Queen: The Golden Age of Magic,3.2, 204,2h 28m,Fantasy
The Seductress from Hell,6.7, 18,1h 42m,Fantasy
Spirit Riser,6.7, 33,1h 38m,Fantasy
"Don't Cry, Butterfly",6.4, 119,1h 37m,Fantasy
We Work for the Dead,6.6, 510,1h 24m,Fantasy
The Time Travel Hills,5.4, 72,1h 22m,Fantasy
Vertical,5.2, 134,1h 51m,Fantasy
God with Three Eyes,6.1, 14,1h 52m,Fantasy
The Gesuidouz,6.8, 58,1h 33m,Fantasy
The Vord,3.4, 65,1h 41m,Fantasy
Enchanting Christmas,6.3, 354,1h 31m,Fantasy
The Sisters,4.7, 151,2h 2m,Fantasy
Bodegón con fantasmas,6.5, 159,1h 28m,Fantasy
Zak & Wowo: The Legend of Lendarys,5.7, 97,1h 25m,Fantasy
The Fisherman,7.2, 44,1h 45m,Fantasy
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0, 33,50m,Fantasy
Dr. Sander's Sleep Cure,7.0, 855,1h 38m,Fantasy
Niko: Beyond the Northern Lights,6.2, 333,1h 26m,Fantasy
Pechi,5.5, 1.5K,1h 50m,Fantasy
Hold Me Close,6.8, 13,1h 38m,Fantasy
Schirkoa: In Lies We Trust,5.6, 158,1h 43m,Fantasy
Dragon Ball Z Kai,8.5, 73,1h 22m,Fantasy
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9, 84,2h 18m,Fantasy
Bhairadevi,8.7, 51,2h 14m,Fantasy
Rita,5.8, 273,1h 47m,Fantasy
Don Dukun,7.0, 53,1h 38m,Fantasy
Dead Dead Demon's Dededede Destruction,7.0, 145,2h,Fantasy
Spirit World,5.8, 59,1h 34m,Fantasy
The Jester from Transylvania,4.8, 37,1h 42m,Fantasy
Askepote,3.5, 83,1h 12m,Fantasy
Letters at Christmas,3.7, 173,1h 24m,Fantasy
Captain Avispa,5.8, 177,1h 36m,Fantasy
The Woods Are Real,2.4, 459,1h 20m,Fantasy
Saint Young Men: Holy Men vs Demon Army,3.0, 14,1h 33m,Fantasy
The Ballad of Hortensia,6.7, 130,1h 34m,Fantasy
The Evil Fairy Queen,5.4, 51,1h 30m,Fantasy
Apollon by Day Athena by Night,7.0, 25,1h 52m,Fantasy
Carol,8.3, 48,1h 55m,Fantasy
Intercambiadas,6.4, 56,1h 37m,Fantasy
Fuuto PI: Portrait of Kamen Rider Skull,7.5, 42,1h 22m,Fantasy
Universal Groove,5.5, 170,1h 14m,Fantasy
The Slave and the Sorcerer,6.7, 40,1h 26m,Fantasy
All In,5.6, 86,1h 43m,Fantasy
The Old Man and the Demon Sword,7.4, 37,1h 3m,Fantasy
Domovyonok Kuzya,6.5, 821,1h 30m,Fantasy
River of Ghosts,3.0, 306,1h 42m,Fantasy
Witch Hunter,5.3, 24,1h 20m,Fantasy
Letuchiy korabl,3.8, 298,1h 40m,Fantasy
White Cobra Diamond Fox vs the Golden Eye,5.0, 25,1h 30m,Fantasy
The Umbrella Fairy,5.5, 54,1h 35m,Fantasy
A Song from the Dark,4.8, 2.2K,1h 45m,Fantasy
Ienai Himitsu,6.8, 66,1h 55m,Fantasy
Hiçbir Sey Normal Degil,5.9, 73,1h 11m,Fantasy
Planet 7693,7.6, 70,1h 50m,Fantasy
Penguin Girl,6.9, 14,1h 38m,Fantasy
Videotheque,6.2, 102,1h 52m,Fantasy
Woof Woof Daddy,6.2, 44,1h 45m,Fantasy
The Supernatural Sweet Shop: The Movie,7.3, 17,1h 43m,Fantasy
Last Song for You,7.3, 95,1h 46m,Fantasy
Turma da Mônica Jovem: Reflexos do Medo,2.8, 258,1h 28m,Fantasy
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0, 35,1h 11m,Fantasy
Domovoy,4.3, 289,1h 42m,Fantasy
Ella,9.2, 66,1h 31m,Fantasy
The Beads,6.6, 13,1h 40m,Fantasy
The Formula for Water,4.5, 31,1h 26m,Fantasy
Nueva Tierra,7.6, 30,2h 3m,Fantasy
Sun and Moon,5.0, 5,2h 43m,Fantasy
Wedding Diaries,8.9, 2K,2h 1m,Fantasy
Princess Halle and the Jester,4.8, 61,1h 11m,Fantasy
River Returns,6.8, 17,1h 49m,Fantasy
Pushpaka Vimanam,5.6, 16,2h 17m,Fantasy
The Worlds Divide,8.1, 39,2h,Fantasy
Wanderer,7.0, 9,46m,Fantasy
Vampire Genesis,4.4, 36,1h 45m,Fantasy
Brush of the God,6.4, 14,1h 14m,Fantasy
Baba Yaga spasaet Novyy god,4.4, 116,1h 39m,Fantasy
Mephisto,5.4, 62,1h 48m,Fantasy
Bob a Bobek ve filmu: Na stope Mrkvojeda,7.5, 28,1h 20m,Fantasy
Cedric & Alysia,5.2, 52,1h 24m,Fantasy
Tri bogatyrya. Ni dnya bez podviga,5.7, 70,1h 1m,Fantasy
Double Tuckerr,4.9, 1.2K,2h,Fantasy
Fidil Ghorm,7.8, 7,1h 26m,Fantasy
Dead Dead Demon's Dededede Destruction Zenpen,7.1, 140,2h,Fantasy
Hakkenden,5.8, 76,2h 29m,Fantasy
Naag Bhoomi,5.7, 8,2h 10m,Fantasy
Horse with No Name,7.8, 14,1h 12m,Fantasy
Maya Puthagam,5.4, 424,2h 2m,Fantasy
Lilla spöket Laban spökar igen,6.2, 27,44m,Fantasy
Ognivo,5.5, 226,1h 45m,Fantasy
Snake Skin Beauty,4.1, 19,1h 23m,Fantasy
Nature Cat's Nature Movie Special Extraordinaire,7.3, 19,53m,Fantasy
The Secret of Pin-Up Island,7.4, 92,1h 47m,Fantasy
Fenómenos naturales,7.2, 30,1h 20m,Fantasy
Two Breaths,8.2, 24,18m,Fantasy
Ebenezer: The Traveler,3.5, 145,1h 42m,Fantasy
Aalan,5.5, 1.1K,2h 17m,Fantasy
Salomé,6.7, 7,1h 55m,Fantasy
Maxxie LaWow: Drag Super-shero,8.7, 59,1h 54m,Fantasy
Les tempêtes,5.7, 21,1h 24m,Fantasy
Soul Traveler (The Feature),4.2, 22,1h 36m,Fantasy
Fragments of Us,7.8, 10,49m,Fantasy
Traces of Love,6.5, 909,1h 45m,Fantasy
The Heartsmith,9.6, 43,1h 35m,Fantasy
The Eye of the Salamander,7.9, 20,1h 21m,Fantasy
Chhota Bheem and the Curse of Damyaan,4.8, 2.3K,2h 25m,Fantasy
Fights Break Sphere 3,4.7, 8,1h 21m,Fantasy
Young doctor's notes,3.5, 6,1h 26m,Fantasy
Nie Xiaoqian,6.2, 17,1h 52m,Fantasy
Into the Mortal World,6.8, 155,1h 58m,Fantasy
Mother Maker Lover Taker,5.9, 34,1h 39m,Fantasy
Bloodspawn,5.7, 12,1h 16m,Fantasy
Joachim and the Apocalypse,7.2, 13,1h 30m,Fantasy
Supersiostry,3.9, 135,1h 30m,Fantasy
Apokrif,8.7, 20,1h 4m,Fantasy
Samaya bolshaya luna,2.4, 128,1h 45m,Fantasy
Witches of God,7.6, 16,1h 13m,Fantasy
Yao Shen Ling,6.7, 66,1h 33m,Fantasy
Vasilisa i khraniteli vremeni,3.1, 69,1h 38m,Fantasy
Sunce nikad vise,7.0, 25,1h 12m,Fantasy
Vidente por Acidente,4.9, 74,1h 33m,Fantasy
Spin the Wheel,6.0, 87,1h 42m,Fantasy
10/31 Part 4,5.6, 17,1h 27m,Fantasy
Mortadella,8.4, 7,1h 30m,Fantasy
Painted Skin,6.9, 53,1h 20m,Fantasy
Sith Wars: Episódio III - Fantasmas Dos Sith,8.6, 115,1h 39m,Fantasy
The Journey of Flower,3.9, 26,1h 37m,Fantasy
Achilles Curse and the Curse of Treasure,7.4, 25,2h 5m,Fantasy
Keo=peul-ji-ok,5.3, 7,1h 34m,Fantasy
"Fallen Leaves, Broken Lighters",7.7, 7,1h 36m,Fantasy
Couple in the Woods,5.6, 31,1h 5m,Fantasy
"The Girl, the Hunter & the Firefly",7.3, 19,1h 38m,Fantasy
Wonderland,6.8, 12,2h,Fantasy
Advent,7.5, 6,1h 59m,Fantasy
Blue Christmas,5.6, 21,1h 19m,Fantasy
Tara - The Lost Star,9.6, 11,1h 30m,Fantasy
LUDA,7.2, 6,1h 26m,Fantasy
JAPA,7.7, 16,1h 50m,Fantasy
Dracu Ra,5.5, 38,1h 46m,Fantasy
Iron Nest of the Moon,7.6, 13,1h 10m,Fantasy
Gato Galactico e o Feitiço do Tempo,7.7, 69,1h 25m,Fantasy
Sahmeran Efsanesi-Tulhan,6.0, 34,16+,Fantasy
Chyortov kamen,5.2, 14,1h 45m,Fantasy
Sharma & Ambani,9.1, 184,1h 44m,Fantasy
Velký Pán,7.0, 8,1h 13m,Fantasy
Code Duello: From the Tithebanner Saga,8.9, 339,1h 1m,Fantasy
UnichtoZhanna,3.3, 51,1h 38m,Fantasy
Princezna na hrásku,5.6, 63,1h 20m,Fantasy
Kyle and the Last Emerald 2,8.4, 8,15m,Fantasy
Krapiva: Tsvetok smerti,6.1, 56,1h 21m,Fantasy
Darker Than Night,4.7, 24,1h 22m,Fantasy
Black Dragon,3.9, 9,1h 39m,Fantasy
The Blinkless,7.8, 12,59m,Fantasy
IZLIYORLAR,7.2, 29,1h 53m,Fantasy
Nebesko,5.2, 10,1h 13m,Fantasy
And Through the Portal We Go,6.8, 11,1h 23m,Fantasy
Demon Host,6.4, 20,1h 20m,Fantasy
Skazochnyy patrul. Shou prodolzhayetsya,7.2, 11,1h 5m,Fantasy
Xiao zi,3.5, 12,1h 41m,Fantasy
Santa's Chimney of Secrets,4.6, 23,1h 6m,Fantasy
Bicho Monstro,8.0, 5,1h 15m,Fantasy
Let's Go! Anpanman: Baikinman and Lulun,6.5, 7,1h 4m,Fantasy
I Am Moon,8.0, 9,2h 7m,Fantasy
The Legend of the Cat Demon,4.8, 12,1h 25m,Fantasy
"Bryson, the Demon Slayer",4.5, 12,59m,Fantasy
Kyle and the Last Emerald,5.5, 18,20m,Fantasy
Kan dao ling hun de na zhi yan shi gong,3.3, 12,2h 4m,Fantasy
Lucid Love,8.6, 30,1h 11m,Fantasy
Cageling,5.9, 8,1h 9m,Fantasy
