Title,Rating,Votes,Duration,Genre
Séance Games: Metaxu,3.3, 193,1h 26m,Mystery
Brief History of a Family,6.7, 424,1h 40m,Mystery
Following,6.5, 1.3K,1h 42m,Mystery
They Called Him Mostly Harmless,5.9, 3.2K,1h 29m,Mystery
Black,7.1, 2.8K,1h 55m,Mystery
Octopus with Broken Arms,6.1, 270,1h 49m,Mystery
Horror in the High Desert 3: Firewatch,5.4, 730,1h 28m,Mystery
Dancing Village: The Curse Begins,5.7, 4.2K,2h 2m,Mystery
Chapel,3.4, 181,1h 32m,Mystery
Hunting Matthew Nichols,8.9, 46,1h 36m,Mystery
Rautu Ka Raaz,6.3, 2K,1h 54m,Mystery
Borderless Fog,5.2, 1.3K,1h 50m,Mystery
Abraham Ozler,6.6, 4.2K,2h 23m,Mystery
Stupid Games,4.1, 384,1h 26m,Mystery
What Happened to Suzy,6.4, 73,1h 34m,Mystery
Haze,6.8, 47,1h 16m,Mystery
Karma's a Bitch,4.6, 34,1h 29m,Mystery
Detective Conan: The Million-Dollar Pentagram,6.7, 1.5K,1h 51m,Mystery
Dark Night of the Soul,3.3, 165,1h 21m,Mystery
The Redemption of Sin,5.8, 193,1h 56m,Mystery
10 Days of a Curious Man,5.7, 1.3K,1h 50m,Mystery
Oshi no Ko: The Final Act,6.8, 129,2h 9m,Mystery
ClearMind,4.1, 2.2K,1h 25m,Mystery
Deadly Invitations,4.2, 179,1h 29m,Mystery
Paranoia,4.1, 370,1h 35m,Mystery
Bhoothaddam Bhaskar Narayana,6.2, 283,2h 21m,Mystery
The Kingdom,7.8, 92,2h 13m,Mystery
Lotus,7.7, 25,1h 57m,Mystery
Doctor X: The Movie,8.0, 52,2h 8m,Mystery
Last Stop: Rocafort St.,4.1, 471,1h 29m,Mystery
Algiers,7.8, 55,1h 33m,Mystery
The Manifestation,3.6, 190,1h 24m,Mystery
Vina: Before 7 Days,5.4, 593,1h 40m,Mystery
In Our Blood,6.9, 47,1h 29m,Mystery
Free Falling,5.2, 294,1h 29m,Mystery
Athomugam,7.0, 634,2h 10m,Mystery
From Darkness,5.0, 557,1h 35m,Mystery
200KG Vampire,5.2, 29,1h 33m,Mystery
